categ,nombre,dif,comens,time,tipo,link,ingred
arroces,receta_de_arroz_al_estilo_marroqui,baja,2,45,principal,https://www.recetasgratis.net/receta-de-arroz-al-estilo-marroqui-69866.html,"240 gramos de arroz basmati,1 zanahoria,1 puerro,800 mililitros de caldo vegetal o agua,1 pugnado de pasas,1 pugnado de anacardos,1 cucharadita de ralladura de naranja,½ cucharadita de pimenton,1 cucharada sopera de sirope de agave,½ cucharadita de comino en grano,½ cucharadita de sal,2 cucharadas soperas de aceite,2 cucharadas soperas de cilantro fresco"
arroces,receta_de_hamburguesas_de_quinoa_y_berenjena,baja,6,45,principal,https://www.recetasgratis.net/receta-de-hamburguesas-de-quinoa-y-berenjena-69660.html,"½ taza de quinoa blanca,½ taza de quinoa roja,1 berenjena,½ taza de guisantes congelados,1 cebolla,2 dientes de ajo,1 cucharada sopera de aceite de oliva,½ cucharadita de romero,1 cucharadita de comino,1 cucharadita de jengibre,1 pizca de pimienta negra,1 cucharadita de sal"
arroces,receta_de_arroz_al_horno_vegano,baja,4,90,principal,https://www.recetasgratis.net/receta-de-arroz-al-horno-vegano-69186.html,"240 gramos de arroz,500 mililitros de caldo vegetal,200 gramos de seitan,100 gramos de garbanzos cocidos,1 patata grande,1 tomate,2 dientes de ajo,2 hojas de laurel,1 cucharadita de romero,1 cucharadita de tomillo,2 cucharadas soperas de aceite de oliva,1 cucharadita de sal,1 zanahoria,½ pimiento rojo"
arroces,receta_de_sushi_vegano_casero,baja,2,30,entrante,https://www.recetasgratis.net/receta-de-sushi-vegano-casero-69154.html,"5 laminas de alga nori,1 taza de arroz para sushi,25 mililitros de vinagre de arroz,10 gramos de azucar,1 platano,2 rodajas de pigna,1 aguacate,1 zanahoria,1 taza de agua (240 mililitros),15 gramos de sal,½ pimiento verde"
arroces,receta_de_paella_de_carne_con_habas_y_alcachofas,baja,4,45,principal,https://www.recetasgratis.net/receta-de-paella-de-carne-con-habas-y-alcachofas-69011.html,"500 gramos de arroz,costillas de cerdo troceadas (al gusto),habas frescas peladas (al gusto),alcachofas troceadas (al gusto),1 pimiento rojo a tiras anchas,1 tomate rallado,Pimenton dulce (al gusto),Azafran molido (al gusto),Romero molido o en rama (al gusto),Aceite y sal,Agua (cantidad necesaria)"
arroces,receta_de_hamburguesas_de_quinoa_y_remolacha,baja,6,30,principal,https://www.recetasgratis.net/receta-de-hamburguesas-de-quinoa-y-remolacha-68884.html,"2 remolacha (o betabel) cocida,½ cebolla,1 cucharadita de ajo en polvo,½ cucharadita de comino en polvo,2 cucharadas soperas de copos de avena o de harina de avena,1 pugnado de cacahuetes,½ taza de quinoa cocida,½ cucharadita de sal"
arroces,receta_de_arroz_con_pollo_y_salchichas_facil,baja,8,45,principal,https://www.recetasgratis.net/receta-de-arroz-con-pollo-y-salchichas-facil-68090.html,"4 tazas de arroz,2 tazas de agua (480 mililitros),2 pechugas de pollo,½ kilogramo de salchichas,8 huevos medianos,2 cebollas,1 pizca de curcuma o palillo,1 pizca de pimienta,1 pizca de ajinomoto,1 pizca de sal,Cilantro picado para decorar,1 chorro de aceite,1 pimiento rojo"
arroces,receta_de_paella_de_verduras_con_alcachofas,baja,4,45,principal,https://www.recetasgratis.net/receta-de-paella-de-verduras-con-alcachofas-67742.html,"4 vasos pequegnos de arroz normal o redondo,10 vasos pequegnos de agua o caldo de verduras (el doble de las de arroz mas 1 o 2),2 cucharadas soperas de aceite de oliva,1 pellizco de sal (opcional),1 cebolla mediana,1 calabacin mediano o pequegno,½ pimiento rojo o unas tiras de pimiento rojo asado,1 pimiento verde pequegno,1 diente de ajo,1 cucharadita de pimenton dulce,1 zanahoria,100 gramos de champignon,4 alcachofas,esparragos verdes o trigueros (al gusto),20 hebras de azafran"
arroces,receta_de_arroz_con_verduras_de_invierno,baja,4,90,principal,https://www.recetasgratis.net/receta-de-arroz-con-verduras-de-invierno-67605.html,"½ pimiento rojo,½ pimiento verde,1 tomate hermoso y maduro,150 gramos de setas,1 manojo de ajos tiernos,1 alcachofa,300 gramos de arroz bomba,900 mililitros de agua o caldo,400 gramos de costillejas cortadas en trozos pequegnos,1 vaso pequegno de aceite de oliva,400 gramos de presa iberica,1 rama de romero,1 rama de tomillo fresco,1 cucharadita de sal,Azafran al gusto,1 cucharadita de pimenton dulce"
arroces,receta_de_escaldon_de_gofio_vegetariano,baja,6,30,principal,https://www.recetasgratis.net/receta-de-escaldon-de-gofio-vegetariano-67579.html,"2 tazas de caldo vegetal,5 cucharadas soperas de gofio,½ cebolla,5 cucharadas soperas de mojo verde de cilantro"
